protein_id	group_id
A0A075B6R2	UniRef50_A0A075B6R2
A0A075B6T6	UniRef50_A0A075B6T6
A0A075B6W5	UniRef50_A0A075B6W5
A0A075B734	UniRef50_Q4R691
A0A075B759	UniRef50_Q9Y536
A0A075B767	UniRef50_Q9Y536
A0A075D5I4	UniRef50_W5U2K2
A0A075D657	UniRef50_W5U2K2
A0A075DVI9	UniRef50_J9MJK9
A0A075F932	UniRef50_A0A075F932
A0A075FA51	UniRef50_B8PQ84
A0A075FAK4	UniRef50_A0A2K9RFZ7
A0A075FBG7	UniRef50_A0A075FBG7
A0A075FBT3	UniRef50_A0A1Z3GBK8
A0A075QQ08	UniRef50_A0A075QQ08
A0A075TMP0	UniRef50_A0A075TMP0
A0A075TMP8	UniRef50_A0A075TMP8
A0A075TR27	UniRef50_A0A075TR27
A0A075TR33	UniRef50_A0A075TR33
A0A075TR41	UniRef50_A0A075TR41
A0A075TRA9	UniRef50_A0A075TRA9
A0A075TRB3	UniRef50_A0A075TRB3
A0A075TRC0	UniRef50_Q0CJ59
A0A075TRK9	UniRef50_A0A075TRK9
A0A075TRL0	UniRef50_A0A075TRL0
A0A075TRL5	UniRef50_A0A075TRL5
A0A075TXZ1	UniRef50_A0A075TXZ1
A0A075TXZ8	UniRef50_A0A075TXZ8
A0A076FF10	UniRef50_A0A076FFM5
A0A076FFM5	UniRef50_A0A076FFM5
A0A078BQP2	UniRef50_A0A078BQP2
A0A078H868	UniRef50_A0A078H868
A0A080WMA9	UniRef50_A0A080WMA9
A0A086F3E3	UniRef50_A0A086F3E3
A0A087WPF7	UniRef50_A0A087WPF7
A0A087WRI3	UniRef50_A0A087WRI3
A0A087WSY4	UniRef50_P0DP06
A0A087WT01	UniRef50_A0A087WT01
A0A087WXM9	UniRef50_A0A087WXM9
A0A087X1C5	UniRef50_A0A087X1C5
A0A088MF62	UniRef50_F2YTN4
A0A088MLT8	UniRef50_A0A088MLT8
A0A089QRB9	UniRef50_A0A089QRB9
A0A090XA85	UniRef50_A0A090XA85
A0A090XBH9	UniRef50_A0A0K8R374
A0A090XBL6	UniRef50_A0A0K8R726
A0A090XE98	UniRef50_A0A0K8R374
A0A095AMW7	UniRef50_Q48796
A0A095C6S0	UniRef50_A0A095C6S0
A0A095CCB2	UniRef50_J9VPE7
A0A096LP55	UniRef50_P99028
A0A096MJN4	UniRef50_O43236-2
A0A096MJY4	UniRef50_Q8CFN5
A0A096MJZ0	UniRef50_Q05A62
A0A096MK47	UniRef50_Q5VWP3
A0A096P8D3	UniRef50_A0A096P8D3
A0A096SRM5	UniRef50_C3W7B0
A0A096X8J7	UniRef50_A0A096X8J7
A0A096XJN4	UniRef50_A0A096XJN4
A0A096ZEC9	UniRef50_A0A096ZEC9
A0A096ZED0	UniRef50_A0A096ZED0
A0A098D1J7	UniRef50_A0A098D1J7
A0A098D6U0	UniRef50_A0A098D6U0
A0A098D8A0	UniRef50_A0A098D8A0
A0A0A0LLY1	UniRef50_A0A0A0LLY1
A0A0A0MS14	UniRef50_P01743
A0A0A0MS15	UniRef50_A0A0A0MS15
A0A0A0RM07	UniRef50_A0A0A0RM07
A0A0A1C3I2	UniRef50_A0A0A1C3I2
A0A0A1C930	UniRef50_P43256
A0A0A1GKA2	UniRef50_A0A0A1GKA2
A0A0A1GNF2	UniRef50_A0A0A1GNF2
A0A0A1H7N4	UniRef50_A0A0A1HA03
A0A0A1H8I4	UniRef50_A0A0A1H8I4
A0A0A1HA03	UniRef50_A0A0A1HA03
A0A0A6YXX9	UniRef50_A0A0A6YXX9
A0A0A6YY25	UniRef50_A0A0A6YY25
A0A0A6YYK7	UniRef50_A0A0A6YYK7
A0A0A6ZFR4	UniRef50_A0A0A6ZFR4
A0A0A6ZFY4	UniRef50_A0A0A6ZFY4
A0A0A7AAW9	UniRef50_A0A0A7AAW9
A0A0A7EPL0	UniRef50_A0A0A7EPL0
A0A0A7LRQ7	UniRef50_A0A0A7LRQ7
A0A0A8J8S8	UniRef50_A0A0A8J8S8
A0A0A8J9V7	UniRef50_A0A0A8J9V7
A0A0A8JA06	UniRef50_A0A0A8JA06
A0A0A8JBQ8	UniRef50_A0A0A8JBQ8
A0A0A8JBR2	UniRef50_A0A0A8JBR2
A0A0B4J1F4	UniRef50_A0A0B4J1F4
A0A0B4J1G0	UniRef50_A0A0B4J1G0
A0A0B4J1N3	UniRef50_A0A0B4J1N3
A0A0B4J1U7	UniRef50_A0A0B4J1U7
A0A0B4J1V0	UniRef50_A0A0B4J1V0
A0A0B4J1V1	UniRef50_A0A0B4J1V1
A0A0B4J1V2	UniRef50_P01814
A0A0B4J1V6	UniRef50_A0A0B4J1V6
A0A0B4J1V7	UniRef50_A0A0B4J1V7
A0A0B4J1X5	UniRef50_A0A0B4J1X5
A0A0B4J1X8	UniRef50_P0DP04
A0A0B4J1Y9	UniRef50_A0A0B4J1Y9
A0A0B4J245	UniRef50_A0A0B4J245
A0A0B4J271	UniRef50_A0A075B6T6
A0A0B4J2A2	UniRef50_Q9Y536
A0A0B4J2F0	UniRef50_A0A0B4J2F0
A0A0B4J2H0	UniRef50_P01742
A0A0B4K692	UniRef50_A0A0B4K692
A0A0B4K753	UniRef50_A0A0B4K753
A0A0B4K7J2	UniRef50_A0A0B4K7J2
A0A0B4K859	UniRef50_A0A0B4K859
A0A0B4KEE4	UniRef50_A0A0B4KEE4
A0A0B4KGY6	UniRef50_A0A0B4KGY6
A0A0B4LFY9	UniRef50_A0A0B4LFY9
A0A0B4U9L8	UniRef50_O93523
A0A0B5KU17	UniRef50_F1DBA9
A0A0B5KYT4	UniRef50_W6QRN8
A0A0B5L778	UniRef50_W6QIT8
A0A0B5L781	UniRef50_A0A0B5L781
A0A0B5LB52	UniRef50_A0A0B5LB52
A0A0B5LB55	UniRef50_A0A0B5LB55
A0A0B6VIJ5	UniRef50_A0A0B6VIJ5
A0A0B7P9G0	UniRef50_A0A0B7P9G0
A0A0C3VJP4	UniRef50_A0A0C3VJP4
A0A0C4DH29	UniRef50_P01743
A0A0C4DH30	UniRef50_A0A0C4DH30
A0A0C4DH31	UniRef50_P01743
A0A0C4DH32	UniRef50_A0A0C4DH32
A0A0C4DH33	UniRef50_A0A0C4DH33
A0A0C4DH34	UniRef50_P0DP06
A0A0C4DH35	UniRef50_P01763
A0A0C4DH36	UniRef50_P0DTE1
A0A0C4DH38	UniRef50_P01764
A0A0C4DH39	UniRef50_P01743
A0A0C4DH41	UniRef50_P01825
A0A0C4DH42	UniRef50_P01764
A0A0C4DH43	UniRef50_P01814
A0A0C5B5G6	UniRef50_A0A0C5B5G6
A0A0C5DM37	UniRef50_A0A0C5DM37
A0A0C5Q4Y6	UniRef50_A0A0C5Q4Y6
A0A0C5QRZ2	UniRef50_A0A0C5Q4Y6
A0A0C5URS1	UniRef50_A0A0C5URS1
A0A0C9S461	UniRef50_A0A023FFD0
A0A0D1C1H8	UniRef50_A0A0D1C1H8
A0A0D1C8C8	UniRef50_A0A0D1C8C8
A0A0D1CD96	UniRef50_P16474
A0A0D1CLQ4	UniRef50_J9VQZ9
A0A0D1CY03	UniRef50_A0A0D1CY03
A0A0D1CZ63	UniRef50_A0A0D1CZ63
A0A0D1DNX1	UniRef50_A0A0D1DNX1
A0A0D1DT68	UniRef50_A0A0D1DT68
A0A0D1DWQ2	UniRef50_A0A0D1DWQ2
A0A0D1DWZ5	UniRef50_A0A0D1DWZ5
A0A0D1DZT6	UniRef50_A0A0D1DZT6
A0A0D1E2P6	UniRef50_A0A0D1E2P6
A0A0D1E4Y8	UniRef50_A0A0D1E4Y8
A0A0D1E6L2	UniRef50_A0A0D1E6L2
A0A0D1E921	UniRef50_A0A0D1E921
A0A0D1E9B9	UniRef50_A0A0D1E9B9
A0A0D2UG83	UniRef50_A0A0D2UG83
A0A0D2Y5A7	UniRef50_A0A0D2Y5A7
A0A0D3MU50	UniRef50_Q9FKF4
A0A0D3QS98	UniRef50_A0A0D3QS99
A0A0D3QS99	UniRef50_A0A0D3QS99
A0A0D5ZDC8	UniRef50_A0A0A6ZFR4
A0A0D9S1R0	UniRef50_P02649
A0A0E0RTV6	UniRef50_A0A0E0RTV6
A0A0E0RX65	UniRef50_E9DVV4
A0A0E3JT70	UniRef50_P72578
A0A0E3JXD9	UniRef50_A0A0E3JXD9
A0A0E3KBH3	UniRef50_Q96Y68
A0A0E3T3B5	UniRef50_C6KEM4
A0A0E3T552	UniRef50_C6KEM4
A0A0F0IP79	UniRef50_Q2U616
A0A0F5HNC1	UniRef50_A0A0F5HNC1
A0A0F5HNH9	UniRef50_A0A0F5HNH9
A0A0F5HPP7	UniRef50_A0A0F5HPP7
A0A0F6MY85	UniRef50_A0A0F6MY85
A0A0F7G352	UniRef50_A0A0F7G352
A0A0F8XYN9	UniRef50_A0A0F8XYN9
A0A0G2JDV3	UniRef50_A0A0G2JDV3
A0A0G2JEB6	UniRef50_A0A0G2JEB6
A0A0G2JMD5	UniRef50_O60811
A0A0G2JMI3	UniRef50_A0A0C4DH33
A0A0G2JTR4	UniRef50_Q5SSL4
A0A0G2JTY4	UniRef50_A0A0G2JTY4
A0A0G2JTZ2	UniRef50_P40645
A0A0G2JUG7	UniRef50_A0A0G2JUG7
A0A0G2JV04	UniRef50_A0A0G2JV04
A0A0G2JXN2	UniRef50_Q7TNM2
A0A0G2JXT6	UniRef50_Q8VE11
A0A0G2JZ79	UniRef50_Q96EB6
A0A0G2K047	UniRef50_A0A0G2K047
A0A0G2K0D3	UniRef50_Q8BVA4
A0A0G2K1Q8	UniRef50_A0A0G2K1Q8
A0A0G2K2P5	UniRef50_Q07157
A0A0G2K309	UniRef50_A0A0G2K309
A0A0G2K344	UniRef50_P42336
A0A0G2K5L2	UniRef50_A0A0G2K5L2
A0A0G2K6Z9	UniRef50_Q17RF5
A0A0G2K7V7	UniRef50_Q8HWE5
A0A0G2KBC9	UniRef50_A0A0G2KBC9
A0A0G2KIZ8	UniRef50_A0A0G2KIZ8
A0A0G2KQY6	UniRef50_A0A0G2KQY6
A0A0G2KTI4	UniRef50_A0A0G2KTI4
A0A0G2L7I0	UniRef50_A0A0G2L7I0
A0A0G2Q9D6	UniRef50_P9WG45
A0A0G2Q9F8	UniRef50_P9WG47
A0A0G2QC33	UniRef50_Q8BGE6
A0A0G2UGT2	UniRef50_H2FH31
A0A0G3VTN5	UniRef50_A0A0G3VTN5
A0A0G4DBR5	UniRef50_I1KEV6
A0A0H2UMY0	UniRef50_A0A0H2UMY0
A0A0H2UNG0	UniRef50_A0A0H2UNG0
A0A0H2UR90	UniRef50_Q79T00
A0A0H2UR93	UniRef50_A0A0H2UR93
A0A0H2URG7	UniRef50_A0A0H2URG7
A0A0H2URK1	UniRef50_A0A0H2URK1
A0A0H2US87	UniRef50_A0A0H2US87
A0A0H2USG1	UniRef50_A0A0H2USG1
A0A0H2V8B5	UniRef50_A0A0H2V8B5
A0A0H2VAP9	UniRef50_A0A0H2VAP9
A0A0H2VDN9	UniRef50_A0A0H2VDN9
A0A0H2ZKY7	UniRef50_Q8DQ15
A0A0H2ZLL3	UniRef50_A0A0H2ZLL3
A0A0H2ZNH9	UniRef50_Q8DPL8
A0A0H2ZNL3	UniRef50_Q836E5
A0A0H2ZQB9	UniRef50_A0A0H2ZQB9
A0A0H2ZQL5	UniRef50_Q8DQV8
A0A0H3AIG7	UniRef50_A0A0H3AIG7
A0A0H3B1Q8	UniRef50_A0A0H3B1Q8
A0A0H3G4K1	UniRef50_A0A0H3G4K1
A0A0H3GDH9	UniRef50_Q8Y9V5
A0A0H3GM48	UniRef50_Q45589
A0A0H3JN63	UniRef50_A0A0H2WZ38
A0A0H3JQ59	UniRef50_A0A0H3JQ59
A0A0H3JR16	UniRef50_O07608
A0A0H3JUU7	UniRef50_A0A0H3JUU7
A0A0H3JX98	UniRef50_A0A0H3JX98
A0A0H3K9R3	UniRef50_Q31N04
A0A0H3KB22	UniRef50_A0A0H3KB22
A0A0H3M3S8	UniRef50_P9WK45
A0A0H3M9Z0	UniRef50_P9WK61
A0A0H3MD02	UniRef50_P0CI27
A0A0H3MGR4	UniRef50_A0A0H3MGR4
A0A0H3NK84	UniRef50_P0DUJ7
A0A0H3PEK7	UniRef50_A0A0H3PEK7
A0A0H4ADX3	UniRef50_D7PI15
A0A0I9QGZ2	UniRef50_A0A0I9QGZ2
A0A0J9UVG7	UniRef50_A0A0J9UVG7
A0A0J9X1Q5	UniRef50_A0A0J9X1Q5
A0A0J9YVY3	UniRef50_A0A0J9YVY3
A0A0J9YX35	UniRef50_A0A075B6Q5
A0A0J9YXX1	UniRef50_A0A0J9YXX1
A0A0K0IP23	UniRef50_A0A0K0IP23
A0A0K0MJN3	UniRef50_P04117
A0A0K0PVW1	UniRef50_A0A0K0PVW1
A0A0K1SC59	UniRef50_Q8IJA9
A0A0K1YW63	UniRef50_A0A0K1YW63
A0A0K2GUJ4	UniRef50_A0A0K2GUJ4
A0A0K2S4Q6	UniRef50_A0A0K2S4Q6
A0A0K3AUE4	UniRef50_A0A0K3AUE4
A0A0K3AUJ9	UniRef50_A0A0K3AUJ9
A0A0K3AV08	UniRef50_A0A0K3AV08
A0A0K3AWM6	UniRef50_A0A0K3AWM6
A0A0K3AXH1	UniRef50_A0A0K3AXH1
A0A0K8P6T7	UniRef50_A0A0K8P6T7
A0A0K8P8E7	UniRef50_A0A0K8P8E7
A0A0K8R374	UniRef50_A0A0K8R374
A0A0K8R4R9	UniRef50_V5HBW0
A0A0K8R556	UniRef50_A0A0K8R726
A0A0K8R5I2	UniRef50_A0A0K8R374
A0A0K8R6B3	UniRef50_V5HBW0
A0A0K8R726	UniRef50_A0A0K8R726
A0A0K8R7D4	UniRef50_A0A0K8R374
A0A0K8RAI0	UniRef50_V5HBW0
A0A0K8RCE3	UniRef50_A0A0K8RCE3
A0A0K8RCU3	UniRef50_A0A0K8RCU3
A0A0K8RD51	UniRef50_A0A0K8RCU3
A0A0K8RDH6	UniRef50_A0A0K8R726
A0A0K8RDJ1	UniRef50_V5I3C5
A0A0K8RE99	UniRef50_V5HBW0
A0A0K8RG61	UniRef50_A0A090XA85
A0A0K8RJ67	UniRef50_V5HBW0
A0A0K8RK34	UniRef50_A0A0K8R726
A0A0K8RKE4	UniRef50_A0A0K8RKE4
A0A0K9RL25	UniRef50_A0A0K9RL25
A0A0L7KF24	UniRef50_Q76NL8
A0A0M3KKZ0	UniRef50_B5A7L9
A0A0M3Q1Q3	UniRef50_E2E2P0
A0A0M3R8G1	UniRef50_A0A0M3R8G1
A0A0M3R8G2	UniRef50_A0A0M3R8G2
A0A0M3U1B0	UniRef50_Q5T4T6
A0A0M3VI47	UniRef50_A0A0M3VI47
A0A0M4FCN7	UniRef50_Q5XF03
A0A0M4FLW6	UniRef50_A0A0M4FLW6
A0A0M4FMK2	UniRef50_G7L166
A0A0M4FTF3	UniRef50_A0A0M4FTF3
A0A0M4KE44	UniRef50_A0A224AM54
A0A0N6WHT4	UniRef50_P55157
A0A0N7F297	UniRef50_A0A0N7F297
A0A0N7KJT8	UniRef50_A0A0N7KJT8
A0A0N7KMH0	UniRef50_A0A0N7KMH0
A0A0N9E2K8	UniRef50_Q8K3F2
A0A0N9HMN6	UniRef50_A0A0N9HMN6
A0A0N9HQ36	UniRef50_A0A0N9HQ36
A0A0N9HT29	UniRef50_A0A0N9HT29
A0A0N9HTA1	UniRef50_A0A0N9HTA1
A0A0N9HTU1	UniRef50_A0A0N9HTU1
A0A0N9NCU6	UniRef50_O68718
A0A0P0E482	UniRef50_H2FH31
A0A0P0V4R0	UniRef50_A0A0P0V4R0
A0A0P0V5U9	UniRef50_A0A0P0V5U9
A0A0P0VI36	UniRef50_A0A0P0VI36
A0A0P0VIP0	UniRef50_A0A0P0VIP0
A0A0P0VUY4	UniRef50_A0A0P0VUY4
A0A0P0WGX7	UniRef50_A0A0P0WGX7
A0A0P0WL81	UniRef50_A0A0P0WL81
A0A0P0WQ90	UniRef50_A0A0P0WQ90
A0A0P0WY03	UniRef50_A0A0P0WY03
A0A0P0X004	UniRef50_Q9S7J8
A0A0P0X9Z7	UniRef50_A0A0P0X9Z7
A0A0P0XB70	UniRef50_A0A0P0XB70
A0A0P0XCU3	UniRef50_A0A0P0XCU3
A0A0P0XII1	UniRef50_A0A0P0XII1
A0A0P0XM10	UniRef50_Q0J290
A0A0P0XXR9	UniRef50_A0A0P0XXR9
A0A0Q3IBS1	UniRef50_Q8VWH2
A0A0Q3PY21	UniRef50_A0A0Q3PY21
A0A0R0H9T5	UniRef50_A0A0R0H9T5
A0A0R0HPY5	UniRef50_Q9SYQ8
A0A0R0HW51	UniRef50_P02233
A0A0R4I9Y1	UniRef50_A0A0R4I9Y1
A0A0R4IB93	UniRef50_A0A0R4IB93
A0A0R4IBK5	UniRef50_A0A0R4IBK5
A0A0R4IBL7	UniRef50_A0A0R4IBL7
A0A0R4IC37	UniRef50_Q10570
A0A0R4IDP3	UniRef50_A0A0R4IDP3
A0A0R4IDX9	UniRef50_A0A0R4IDX9
A0A0R4IES7	UniRef50_A0A0R4IES7
A0A0R4IEW8	UniRef50_A0A0R4IEW8
A0A0R4IF99	UniRef50_Q9ESG8
A0A0R4IFG5	UniRef50_A0A0R4IFG5
A0A0R4IGV4	UniRef50_A0A0R4IGV4
A0A0R4IKJ1	UniRef50_Q9H4Z3
A0A0R4IKU3	UniRef50_A0A0R4IKU3
A0A0R4ILB2	UniRef50_A0A0R4ILB2
A0A0R4IM31	UniRef50_A0A0R4IM31
A0A0R4IMY7	UniRef50_A0A0R4IMY7
A0A0R4INB9	UniRef50_A0A0R4INB9
A0A0R4IQZ2	UniRef50_A0A0R4IQZ2
A0A0R4ITC5	UniRef50_Q9Y4A5
A0A0R4IVA4	UniRef50_A0A0R4IVA4
A0A0R4IVV0	UniRef50_A0A0R4IVV0
A0A0R4IWG9	UniRef50_A0A0R4IWG9
A0A0R4IXF6	UniRef50_A0A0R4IXF6
A0A0R4IY06	UniRef50_A0A0R4IY06
A0A0R4IZ84	UniRef50_A0A0R4IZ84
A0A0R6Y3I5	UniRef50_A0A0R6Y3I5
A0A0S0FTT9	UniRef50_A0A5B8NIM2
A0A0S1TP26	UniRef50_A0A0C5Q4Y6
A0A0S1TPC7	UniRef50_A0A0S1TPC7
A0A0S1TQ04	UniRef50_A0A0S1TQ04
A0A0S2IHL2	UniRef50_A0A0S2IHL2
A0A0S2IHL6	UniRef50_O82140
A0A0S2II38	UniRef50_A0AAW1NEA3
A0A0S2UQQ5	UniRef50_A0A0S2UQQ5
A0A0S2UWA5	UniRef50_A0A0S2UWA5
A0A0S2UWC9	UniRef50_A0A0S2UWC9
A0A0S2UWT1	UniRef50_Q7F8T6-2
A0A0S4IJL0	UniRef50_A0A0S4IJL0
A0A0T7AQA7	UniRef50_E6MVV9
A0A0U1QT59	UniRef50_A0A0U1QT59
A0A0U1RPR8	UniRef50_P51839
A0A0U1RQE8	UniRef50_A0A0U1RQE8
A0A0U1RRE5	UniRef50_A0A0U1RRE5
A0A0U1WZ18	UniRef50_A0A0U1WZ18
A0A0U2JT80	UniRef50_A0A0U2JT80
A0A0U2U4F3	UniRef50_Q9C5M3
A0A0U2U8U5	UniRef50_A0AAW1JA93
A0A0U3AL34	UniRef50_A0A0U3AL34
A0A0U3BRC5	UniRef50_A0A0U3BRC5
A0A0U3C228	UniRef50_A0A0U3C228
A0A0U3C9T3	UniRef50_A0A0U3C9T3
A0A0U4EBH5	UniRef50_A0A0U4EBH5
A0A0U8TRG9	UniRef50_A0A0U8TRG9
A0A0U8UFF4	UniRef50_A0A0U8UFF4
A0A0W0FPC8	UniRef50_A0A0W0FPC8
A0A0Y0GRS3	UniRef50_A0A0C5Q4Y6
A0A109QYD3	UniRef50_A0A109QYD3
A0A120HUS7	UniRef50_A0A120HUS7
A0A120KVR5	UniRef50_A0A120KVR5
A0A120KVR8	UniRef50_A0A120KVR8
A0A120KVW2	UniRef50_A0A120KVW2
A0A125QXJ1	UniRef50_Q9DC29
A0A125QZE2	UniRef50_A0A0S1TPC7
A0A125SXN1	UniRef50_A0A125SXN3
A0A125SXN2	UniRef50_A0A125SXN2
A0A125SXN3	UniRef50_A0A125SXN3
A0A125YZH9	UniRef50_A0A125YZH9
A0A125YZN2	UniRef50_A0A125YHX7
A0A126GUP6	UniRef50_A0A126GUP6
A0A131MCZ8	UniRef50_A0A131MCZ8
A0A139AVY4	UniRef50_A0A139AVY4
A0A140C435	UniRef50_A0A140C435
A0A140H546	UniRef50_A0A140H546
A0A140JWM8	UniRef50_A0A140JWM8
A0A140KFG9	UniRef50_A0A348AUV5
A0A140LFM6	UniRef50_Q8K3V7-2
A0A140LI67	UniRef50_Q68DX3
A0A140LI88	UniRef50_A0A140LI88
A0A140LIF8	UniRef50_A0A140LIF8
A0A140LIJ0	UniRef50_A0A140LIJ0
A0A142F121	UniRef50_A0A068Q5Q5
A0A142ZC57	UniRef50_A0A142ZC57
A0A143ZZK9	UniRef50_A0A143ZZK9
A0A144A134	UniRef50_A0A144A134
A0A144A2H0	UniRef50_A0A144A2H0
A0A144LVL3	UniRef50_A0A144LUY5
A0A144YEA5	UniRef50_Q9SDW9
A0A145P7T2	UniRef50_G7L166
A0A151EH88	UniRef50_A0A151EH88
A0A161IUT7	UniRef50_Q5GKZ7
A0A163UT06	UniRef50_A0A163UT06
A0A166ACJ5	UniRef50_A0A166ACJ5
A0A166U5H3	UniRef50_A0A166U5H3
A0A167V661	UniRef50_A0A348AUV5
A0A172J1R7	UniRef50_P12015
A0A172J1S0	UniRef50_A0A172J1S0
A0A172J1V3	UniRef50_A0A172J1V3
A0A173GP47	UniRef50_A0A173GP47
A0A178U9T0	UniRef50_A0A178U9T0
A0A178U9Y5	UniRef50_A0A178U9Y5
A0A178VEK7	UniRef50_A0A178VEK7
A0A178WF56	UniRef50_A0A178WF56
A0A179UL48	UniRef50_A0A179UL48
A0A182C2Z2	UniRef50_A0A182C2Z2
A0A191T6Q6	UniRef50_T1WGN1
A0A193AU77	UniRef50_A0A193AU77
A0A193AUF6	UniRef50_A0A193AU77
A0A193KX02	UniRef50_A0A193KX02
A0A1B0GQX2	UniRef50_A0A1B0GQX2
A0A1B0GR13	UniRef50_A0A1B0GR13
A0A1B0GSZ0	UniRef50_A0A1B0GSZ0
A0A1B0GTB2	UniRef50_A0A1B0GTB2
A0A1B0GTQ4	UniRef50_A0A1B0GTQ4
A0A1B0GTR4	UniRef50_A0A1B0GTR4
A0A1B0GTU1	UniRef50_Q6NZF1
A0A1B0GTW7	UniRef50_A0A1B0GTW7
A0A1B0GUS4	UniRef50_Q7K738
A0A1B0GUW6	UniRef50_A0A1B0GUW6
A0A1B0GVQ0	UniRef50_A0A1B0GVQ0
A0A1B0GVX0	UniRef50_A0A1B0GVX0
A0A1B0GVZ6	UniRef50_Q8NHZ7
A0A1B0GWK0	UniRef50_A0A1B0GWK0
A0A1B1FHP3	UniRef50_A0A5B8X8Z0
A0A1B1J8Z2	UniRef50_A0A1B1J8Z2
A0A1B1WAJ0	UniRef50_A0A1B1WAJ0
A0A1B8YAB1	UniRef50_Q8NFY9
A0A1C3NSL9	UniRef50_A0A1C3NSL9
A0A1C7AAN2	UniRef50_A0A3G1QTU5
A0A1C7D1B7	UniRef50_A0A1C7D1B7
A0A1C9CX56	UniRef50_A0A1C9CX66
A0A1C9CX66	UniRef50_A0A1C9CX66
A0A1D1VU85	UniRef50_A0A1D1VU85
A0A1D5NS60	UniRef50_A0A1D5NS60
A0A1D5NSK0	UniRef50_A0A1D5NSK0
A0A1D5NSM8	UniRef50_A2AVA0
A0A1D5NVS8	UniRef50_Q9HCI7
A0A1D5NY17	UniRef50_Q6ZP80
A0A1D5P556	UniRef50_A0A1D5P556
A0A1D5PJB7	UniRef50_A0A1D5PJB7
A0A1D5PPP7	UniRef50_O35397
A0A1D5PUP4	UniRef50_Q9Z0J1
A0A1D5PXA5	UniRef50_Q9HBA0-3
A0A1D5RMD1	UniRef50_Q9H0B3-4
A0A1D5XGW0	UniRef50_W5DYE3
A0A1D6E0S8	UniRef50_A0A1D6E0S8
A0A1D6EFT8	UniRef50_A0A1D6EFT8
A0A1D6F5N5	UniRef50_A0A1D6F5N5
A0A1D6F7U7	UniRef50_A0A1D6F7U7
A0A1D6F9Y9	UniRef50_A0A1D6HSP4
A0A1D6GDY8	UniRef50_Q8L7S8
A0A1D6GNR3	UniRef50_A0A1D6GNR3
A0A1D6GQ67	UniRef50_A0A1D6GQ67
A0A1D6HSP4	UniRef50_A0A1D6HSP4
A0A1D6K6U5	UniRef50_Q41771
A0A1D6KL43	UniRef50_A0A1D6KL43
A0A1D6KUI6	UniRef50_A0A1D6KUI6
A0A1D6L709	UniRef50_A0A1D6L709
A0A1D6LAB7	UniRef50_Q8L7S8
A0A1D6LAG9	UniRef50_A0A1D6LAG9
A0A1D6LTV0	UniRef50_A0A1D6LTV0
